Jun 11 2021 23:47:46 FW00 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 155.45.129.14 to 51.130.22.93 on interface GigabitEthernet0/3	 Anomaly
Jun 11 2021 23:47:46 FW04 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 116.201.218.185 to 214.204.159.105 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:47:47 FW02 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:47:47 FW09 : %ASA-7-718021: Sent KEEPALIVE response to 181.129.60.30	 Not anomaly
Jun 11 2021 23:47:47 FW03 : %ASA-4-400040: IPS:6102 RPC Dump 195.152.26.188 to 201.13.252.181 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:47:47 FW04 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	 Not anomaly
Jun 11 2021 23:47:47 FW03 : %ASA-7-710005: SCTP request discarded from 136.50.236.110/37889 to GigabitEthernet0/4:215.60.73.87/DNS	 Anomaly
Jun 11 2021 23:47:47 FW05 : %ASA-5-507001: Terminating TCP-Proxy connection from GigabitEthernet0/3:14.237.177.129/13767 to GigabitEthernet0/1:90.139.100.129/36035 - reassembly limit of 156000 bytes exceeded	 Not anomaly
Jun 11 2021 23:47:48 FW12 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/0 during idb initialization	 Not anomaly
Jun 11 2021 23:47:48 FW19 : %ASA-4-400013: IPS:2003 ICMP Redirect 123.225.248.111 to 204.199.81.230 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:47:48 FW14 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:47:48 FW19 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:47:48 FW08 : %ASA-4-400017: IPS:2007 ICMP Timestamp Request 33.150.204.237 to 55.174.6.105 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:47:48 FW00 : %ASA-4-400046: IPS:6154 ypxfrd (YP transfer daemon) Portmap Request 195.156.209.94 to 28.213.174.48 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:47:49 FW10 : %ASA-4-400013: IPS:2003 ICMP Redirect 208.96.130.188 to 197.119.6.139 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:47:49 FW08 : %ASA-4-411001: Line protocol on interface GigabitEthernet0/4 changed state to up	 Anomaly
Jun 11 2021 23:47:49 FW00 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 212.109.213.122 to 130.91.0.43 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:47:49 FW01 : %ASA-4-400012: IPS:2002 ICMP Source Quench 177.241.107.224 to 15.2.61.80 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:47:50 FW17 : %ASA-6-109005: Authentication succeeded for user user7 from 172.18.220.170/17892 to 199.90.167.235/28260 on interface GigabitEthernet0/4.	 Not anomaly
Jun 11 2021 23:47:50 FW02 : %ASA-4-507002: Data copy in proxy-mode exceeded the buffer limit	 Anomaly
Jun 11 2021 23:47:50 FW15 : %ASA-4-400046: IPS:6154 ypxfrd (YP transfer daemon) Portmap Request 193.74.105.242 to 91.123.204.241 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:47:50 FW21 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 179.220.142.177 to 145.120.118.132 on interface GigabitEthernet0/3	 Anomaly
Jun 11 2021 23:47:51 FW24 : %ASA-4-400015: IPS:2005 ICMP Time Exceeded for a Datagram 49.22.180.124 to 135.111.56.143 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:47:51 FW21 : %ASA-7-718023: Received KEEPALIVE response from 54.26.79.221	 Not anomaly
Jun 11 2021 23:47:51 FW12 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:47:51 FW19 : %ASA-4-400013: IPS:2003 ICMP Redirect 217.187.52.191 to 106.158.29.229 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:47:51 FW11 : %ASA-5-718016: Received HELLO response from 61.34.87.27	 Not anomaly
Jun 11 2021 23:47:51 FW04 : %ASA-3-212003: Unable to receive an SNMP request on interface GigabitEthernet0/2 , error code = Not responding , will try again.	 Anomaly
Jun 11 2021 23:47:51 FW20 : %ASA-4-411001: Line protocol on interface GigabitEthernet0/3 changed state to up	 Anomaly
Jun 11 2021 23:47:51 FW16 : %ASA-4-400005: IPS:1005 IP options-SATNET ID 178.233.130.212 to 221.156.196.36 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:47:52 FW05 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 1.20.202.157 to 195.129.96.235 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:47:52 FW23 : %ASA-3-304003: URL Server 218.251.59.56 timed out URL https://www.davis.net/	 Not anomaly
Jun 11 2021 23:47:52 FW20 : %ASA-4-400020: IPS:2010 ICMP Information Reply 107.89.154.90 to 75.74.95.56 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:47:53 FW04 : %ASA-6-303002: FTP connection from GigabitEthernet0/3:68.158.220.186/60295 to GigabitEthernet0/2: 55.168.38.150/3727 , user user12 action file filename	 Anomaly
Jun 11 2021 23:47:53 FW10 : %ASA-4-400028: IPS:3042 TCP FIN only flags from 113.206.75.89 to 164.0.110.55 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:47:53 FW16 : %ASA-4-400012: IPS:2002 ICMP Source Quench 189.157.55.82 to 206.36.163.70 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:47:54 FW04 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 207.194.27.109 to 103.208.114.165 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:47:54 FW16 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 187.248.192.87 to 67.115.3.182 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:47:54 FW13 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 128.150.101.169 to 154.203.241.176 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:47:55 FW10 : %ASA-4-401001: Shuns cleared	 Not anomaly
Jun 11 2021 23:47:55 FW08 : %ASA-4-400017: IPS:2007 ICMP Timestamp Request 74.86.35.3 to 110.242.48.254 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:47:55 FW17 : %ASA-4-733100: Conn limit drop rate 1 exceeded. Current burst rate is 10 per second, max configured rate is 800 ; Current average rate is 2240 per second, max configured rate is 1500 ; Cumulative total count is 545132	 Anomaly
Jun 11 2021 23:47:55 FW23 : %ASA-4-401001: Shuns cleared	 Not anomaly
Jun 11 2021 23:47:55 FW23 : %ASA-7-718021: Sent KEEPALIVE response to 188.68.3.82	 Not anomaly
Jun 11 2021 23:47:55 FW21 : %ASA-6-109001: Auth start for user user11 from 192.168.9.20/62678 to 132.158.9.5/41577	 Not anomaly
Jun 11 2021 23:47:55 FW02 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 57.198.219.21 to 214.72.185.194 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:47:56 FW06 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 194.48.197.74 to 143.45.207.149 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:47:56 FW00 : %ASA-6-109005: Authentication succeeded for user user14 from 10.77.59.105/7253 to 115.183.183.197/426 on interface GigabitEthernet0/2.	 Not anomaly
Jun 11 2021 23:47:56 FW09 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:47:56 FW14 : %ASA-4-400034: IPS:6050 DNS HINFO Request 101.53.144.200 to 211.3.114.209 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:47:56 FW01 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
